file_name,line_number,new_op,old_op,mutation_type,result
./src/main/kotlin/sort/BrickSort.kt,23,+,-,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,23,/,-,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,23,%,-,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,23,*,-,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,24,-,+,ArithmeticReplacementOperator,Timeout
./src/main/kotlin/sort/BrickSort.kt,24,/,+,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,24,*,+,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,24,%,+,ArithmeticReplacementOperator,Timeout
./src/main/kotlin/sort/BrickSort.kt,26,%,+,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,26,-,+,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,26,*,+,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,26,/,+,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,27,-,+,ArithmeticReplacementOperator,Timeout
./src/main/kotlin/sort/BrickSort.kt,27,*,+,ArithmeticReplacementOperator,Timeout
./src/main/kotlin/sort/BrickSort.kt,27,/,+,ArithmeticReplacementOperator,Timeout
./src/main/kotlin/sort/BrickSort.kt,27,%,+,ArithmeticReplacementOperator,Timeout
./src/main/kotlin/sort/BrickSort.kt,33,/,-,ArithmeticReplacementOperator,Survived
./src/main/kotlin/sort/BrickSort.kt,33,*,-,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,33,%,-,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,33,+,-,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,34,/,+,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,34,%,+,ArithmeticReplacementOperator,Killed
./src/main/kotlin/sort/BrickSort.kt,34,-,+,ArithmeticReplacementOperator,Killed
